total_len,avg_time_s,std_time_s
10,5.06667666741123e-05,2.339353818584283e-05
20,6.576413334187236e-05,2.1362347110132703e-05
30,9.550930005085926e-05,5.16641162008195e-05
40,0.00011586120005328364,1.853646229569336e-05
50,0.00015781666664527923,4.21994465377482e-05
60,0.00019656396658926194,5.627503694179067e-05
70,0.00022196289992280072,6.734230514026799e-05
80,0.0002809325332843097,9.767946866702382e-05
90,0.00025626693328983187,6.32654787729911e-05
100,0.00034651833345075527,0.00015158400041050043
110,0.0003853428666237354,0.00017299642771531482
120,0.00032947686659099416,9.356869594947147e-05
130,0.0003733187332727539,0.00011133572884200028
140,0.000405457033351316,0.0001446639443402525
150,0.0004749810666908161,0.000140262196902678
160,0.0005619245667427701,0.00016372767104358017
170,0.0005310211668074771,0.0001419217855414194
180,0.0005298255332794118,0.00013127792384022864
190,0.000562887099992319,0.00012723896696782152
200,0.000634617166664005,0.00018884292672673145
210,0.0007607385999411539,0.00025493103240434946
220,0.0006466837667479315,0.0001742435041362254
230,0.0007463830999768107,0.00025434137591830635
240,0.0007520532000247234,0.00022773862022278086
250,0.0007475635333624571,0.00021764182976084838
260,0.0008563960332746017,0.00022470850619285115
270,0.0007936650667033973,0.00022990952928712374
280,0.0013524013999510014,0.002507975756120497
290,0.0008470625665722764,0.00021542996046664166
300,0.0008825854666914286,0.00021992753109983175
310,0.0010527247999865116,0.00043138891731539985
320,0.0009933830999216298,0.0002705978675859178
330,0.0010181210667724373,0.00024965528334486883
340,0.0010882479999963835,0.00030990919780988043
350,0.0011655870333318792,0.0003302311198932527
360,0.0015582869666711,0.0028201260470266903
370,0.0011596654999569485,0.00032560423118351646
380,0.0011481379000239636,0.00022189607187270285
390,0.0011757558000075126,0.0002327215041018628
400,0.0011782644667619024,0.00021731313587002642
410,0.0017283935999936753,0.002607486355127855
420,0.0013492931332621083,0.0003469094173950672
430,0.0013789351999245506,0.00031124072829061196
440,0.0013219787999939096,0.0002799165687078704
450,0.0013102231999861638,0.00025756705138125526
460,0.001963678333383238,0.002799854915350366
470,0.0013989809333603868,0.000268193454981257
480,0.0016459886332995666,0.00046449123049551995
490,0.0017947630332249295,0.00041221788842556514
500,0.002223379333372577,0.003721938294069995
510,0.001536190333263221,0.00026256701871925516
520,0.0016991483334095393,0.0004389384681943766
530,0.002378927433407322,0.0029731565207903347
540,0.0017299769999832885,0.00034692384437923186
550,0.0017832104665709873,0.00039404126333191224
560,0.002296466066642703,0.0025638843051784214
570,0.00203802796677337,0.0006284647044339991
580,0.0022082564667774327,0.00269232232316915
590,0.0018334469667934173,0.00041913255520539567
600,0.0019450666667883828,0.0003753657259629677
610,0.0025315134999497483,0.002898287097441734
620,0.0023575881333272263,0.0004697687593093472
630,0.0032876122666796923,0.0030176585077342963
640,0.002341825199861584,0.00063781149433077
650,0.0032261750665687336,0.002567082407698035
660,0.0020119581999703466,0.00033157706405539266
670,0.002606461900055971,0.0030261023707341328
680,0.002260531233302269,0.0005526067257593104
690,0.002735703400018489,0.0026609235928098094
700,0.0021073919667287553,0.00044858433745248374
710,0.002674548433272624,0.002808404348705053
720,0.0027365546333688448,0.0026819481430809407
730,0.0022843894665735814,0.00037702995150584305
740,0.002802754766768582,0.002829934923813277
750,0.0023480911333535913,0.0003882580039005211
760,0.003066831433382807,0.003016699409471092
770,0.00325118340009188,0.0033111386297780573
780,0.0028329764000469973,0.0024473059789820585
790,0.0025302804999531264,0.0005442335892116537
800,0.003110901433410618,0.003198406392424162
810,0.002995206466584932,0.002880184520449019
820,0.0025007773000955543,0.0004835539226044051
830,0.002968339033304801,0.0029442269472274604
840,0.0030944569333162994,0.0026728194087646995
850,0.0032189505000739397,0.0026959808763842843
860,0.0032367419999900448,0.0031852111359517727
870,0.0031540771999971186,0.002618465389988586
880,0.0032086035666907264,0.0027570388032137592
890,0.003462673133435601,0.003755356497269254
900,0.0032268631665829163,0.000576853896957439
910,0.0037801659000858004,0.003511618432902827
920,0.003602860799855989,0.002534925172775819
930,0.003667407000042052,0.003233639719969382
940,0.003786765900016083,0.0037636618475232354
950,0.0037840135667465804,0.0032434134633278584
960,0.003820460733428869,0.0029448453053114425
970,0.0045806290665799075,0.004352098420323978
980,0.003960077633291803,0.0030775420779536053
990,0.0038500211000306686,0.003358542775215146
1000,0.0035731934333853134,0.0029526802935810397
